latest_line,matched_line,matched_image,score,reasons,status
51,51,dataset/photo/Ekran görüntüsü 2026-03-04 115525.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
52,53,dataset/photo/eksper-sonrasi-bilgi-farki-ve-satista-baski-ile-magduriyet-yasadim-3.jpg,235,plate+engine+brand+reg_date+first_reg_date+model_year,applied
53,54,dataset/photo/Gemini_Generated_Image_3vs8qq3vs8qq3vs8.png,325,plate+chassis+engine+brand+first_reg_date+model_year,applied
54,55,dataset/photo/Gemini_Generated_Image_9b4q3m9b4q3m9b4q.png,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
55,56,dataset/photo/Gemini_Generated_Image_g2vfpjg2vfpjg2vf.png,325,plate+chassis+engine+brand+first_reg_date+model_year,applied
56,57,dataset/photo/Gemini_Generated_Image_tzsz5wtzsz5wtzsz.png,155,plate+brand+reg_date+first_reg_date+model_year,applied
57,58,dataset/photo/Gemini_Generated_Image_xopl7ixopl7ixopl.png,245,plate+chassis+brand+first_reg_date+model_year,applied
58,59,dataset/photo/motorun-surekli-hararet-sorunu-1.jpg,323,plate+chassis+engine+reg_date+first_reg_date+model_year,applied
59,60,dataset/photo/renault-megane-4te-kronik-havalandirma-izgarasi-kirilmasi-ve-yuksek-onarim-maliyeti-1_768x768.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,applied
60,61,dataset/photo/renault-servisinde-musteri-memnuniyetsizligi-ve-yuksek-ucret-soku-1_768x768.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,matched_no_change
61,52,dataset/photo/Ekran görüntüsü 2026-03-04 115605.png,235,plate+engine+brand+reg_date+first_reg_date+model_year,applied
62,62,dataset/photo/ruhsat-hatasi-nedeniyle-muayeneden-gecememe-magduriyeti-1_768x768.jpg,327,plate+chassis+engine+brand+reg_date+model_year,applied
63,63,dataset/photo/ruhsat-seri-no-1-640x453.jpg,215,chassis+engine+brand+reg_date+first_reg_date+model_year,applied
64,64,dataset/photo/sym-motor-renk-karmasasi-ve-ruhsat-sorunu-1.jpg,335,plate+chassis+engine+brand+reg_date+first_reg_date+model_year,ambiguous_skip
