line_no,image,issues
7,dataset/photo/Ekran görüntüsü 2026-03-04 112444.png,brand:label_text_as_value:MAKE | vehicle_type:label_text_as_value:TYPE
46,dataset/photo/Ekran görüntüsü 2026-03-04 115148.png,plate:invalid_plate_pattern:06MZYS1
51,dataset/photo/Ekran görüntüsü 2026-03-04 115525.png,owner_surname:contains_html:<BR/>TICARI UNIVASI YERI SORU<BR/>SIPTA OFIS KIRTASIYEVE PROMOSYON<BR/>UR.IM.SAN.A.S.
58,dataset/photo/Gemini_Generated_Image_xopl7ixopl7ixopl.png,inspection_date:bad_date_format:10/10/325
63,dataset/photo/ruhsat-seri-no-1-640x453.jpg,plate:invalid_plate_pattern:48VJ10S
